epoch,iou_score,loss,val_iou_score,val_loss
0,0.21877272,0.8066811238016401,0.03951646015048027,1.0036745003291538
1,0.3236569,0.6959906186376299,0.04132772237062454,1.0004734788622176
2,0.3827188,0.6343229259763445,0.04525892809033394,0.9942526834351676
3,0.40815416,0.607158979347774,0.04572136327624321,0.9943024141447885
4,0.4374954,0.5784517535141536,0.045712731778621674,0.993316400051117
5,0.47033486,0.5440943317753928,0.04418952763080597,1.0008875387055534
6,0.49677092,0.5160503506660461,0.044012583792209625,1.0048933982849122
7,0.5194247,0.49319548947470526,0.04251715913414955,1.0073493685041155
8,0.5230662,0.4897293737956456,0.03865297511219978,1.017620543071202
9,0.55044764,0.46152728199958803,0.03346622362732887,1.0367772034236362
10,0.5581391,0.4523809484073094,0.030025051906704903,1.0541755642209734
11,0.56671256,0.44477035658700126,0.025683190673589706,1.1036455869674682
12,0.57621056,0.43411319170679363,0.026456452906131744,1.1019047634942192
