epoch,iou_score,loss,val_iou_score,val_loss
0,0.07216388,0.9736425578594208,0.048755448311567307,0.9969666004180908
1,0.15742335,0.8738875091075897,0.0511481873691082,0.9939538240432739
2,0.18975504,0.8423977345228195,0.05109618976712227,0.994129478931427
3,0.21753979,0.8121677786111832,0.04962350055575371,0.9956372380256653
4,0.2552614,0.7710344344377518,0.049885474145412445,0.9953040480613708
5,0.26298115,0.7624037563800812,0.05021402984857559,0.9947977662086487
6,0.2971852,0.726633608341217,0.05087482929229736,0.9940038919448853
7,0.32015917,0.7037412226200104,0.05135825276374817,0.9932196140289307
8,0.30484605,0.7193596959114075,0.050985656678676605,0.9932125806808472
9,0.33197784,0.6905846297740936,0.051586925983428955,0.9921284914016724
10,0.3639196,0.6577076613903046,0.0530550554394722,0.9900906682014465
11,0.38683975,0.6336004734039307,0.05394401028752327,0.9886497259140015
12,0.3748829,0.6455164551734924,0.055819153785705566,0.9861992597579956
13,0.38513273,0.6340787410736084,0.056147366762161255,0.9852471351623535
14,0.4062668,0.6122130900621414,0.054534099996089935,0.9864162802696228
15,0.39690834,0.6213147044181824,0.05233663320541382,0.9884086847305298
16,0.39300424,0.6250181347131729,0.05229328200221062,0.9882519841194153
17,0.42246836,0.5947944819927216,0.05275978520512581,0.9876366853713989
18,0.43908098,0.5771973133087158,0.05318571254611015,0.9872754216194153
19,0.4530179,0.5632709860801697,0.052929751574993134,0.9875302314758301
20,0.42931414,0.5861006379127502,0.05319006368517876,0.9872292280197144
21,0.44664595,0.5681217014789581,0.05292679741978645,0.9875085353851318
22,0.45470896,0.5599088668823242,0.054755181074142456,0.9857569336891174
23,0.45202196,0.5620563477277756,0.0498194620013237,0.9908440113067627
24,0.47345713,0.5405877903103828,0.049724072217941284,0.991184413433075
