epoch,iou_score,loss,val_iou_score,val_loss
0,0.042187724,1.005428193296705,0.03648925572633743,1.0094258376530238
1,0.057269268,0.9818561196327209,0.03748151659965515,1.0073705332619802
2,0.07338643,0.9595892633710589,0.03885800018906593,1.0046744210379464
3,0.089070864,0.9395918539592198,0.040122296661138535,1.002558275631496
4,0.10481729,0.9207886951310295,0.04005298763513565,1.002608060836792
5,0.11232853,0.9122093166623797,0.04027385264635086,1.0031860726220267
6,0.12145256,0.9015423502240862,0.04054709151387215,1.0043253081185477
7,0.12666702,0.8957791481699262,0.03840872272849083,1.009020948410034
8,0.12868506,0.8935174890926906,0.0361485630273819,1.0154867376599992
9,0.1339856,0.8876359224319458,0.03418097272515297,1.0245095934186663
10,0.13245003,0.8891437070710319,0.030205491930246353,1.0377018008913312
11,0.13567783,0.8857390982764107,0.02816304937005043,1.050893589428493
